case_id,comprehensiveness,sufficiency_gap,stability_jaccard,random_baseline_delta,faithfulness_index
C0022,0.28032241846393186,0.12971377605904733,1.0,0.05673383721322576,0.6117007287451035
C0023,0.29692078628964147,0.11333879661878732,0.5,0.028868192514667552,0.5116220282131021
C0024,0.2629071862394118,0.11016566333435107,0.5,0.034011261651755234,0.4949534670641401
C0025,0.09336183651376784,0.030293567500105145,1.0,0.032663394782913004,0.5682262285288531
C0026,0.14632979558220804,0.14982230169820965,1.0,0.025269368865318397,0.5595305015131374
C0027,0.2530762166029494,0.08488418111104701,1.0,0.06916134989457669,0.6072964356854536
C0028,0.3081519252174695,0.14947189582705023,0.5,0.031351756388382335,0.5047185072249741
C0029,0.15586118091153933,0.055174444096359854,1.0,0.04414642022220259,0.5837193090812935
C0030,0.2314528237090464,0.1365620249536823,1.0,0.03255154340063237,0.5985369686526816
C0031,0.20337497705350926,0.022579327615587674,0.5,0.02332626772835108,0.4992481209116449
C0032,0.15522072991891245,0.06161475357654378,0.5,0.05930205188878694,0.44967897904059334
C0033,0.23384140001958564,0.061087789014923954,1.0,0.019017118486187038,0.6283445899855522
C0034,0.19110572705973256,0.06499924424238979,1.0,0.006458369266351233,0.6135915377343046
C0035,0.14836401728889792,0.022334894751893986,1.0,0.05445317695517776,0.5855594097246059
C0036,0.15398266227306723,0.041257622063032184,1.0,0.057267693192090366,0.58114444946753
C0037,0.2647780947531637,0.12113899374785542,1.0,0.016400290596351445,0.6254283137462089
C0038,0.11556101609032488,0.006014468863062672,0.5,0.05809997498616843,0.4490531278379516
C0039,0.22604288379254323,0.11641404111421227,1.0,0.028674890808756202,0.6038913845084405
C0040,0.29084407225153297,0.01587013517755731,0.5,0.02188780496876186,0.5412692797239798
C0041,0.12227975377299416,0.09944340422792541,1.0,0.006274151988268707,0.5723694995347488
C0042,0.21306965437409597,0.015367039603526922,1.0,0.035796782065860816,0.6251626806576478
C0043,0.19297164777455267,0.05024160532794897,0.5,0.039234245473216404,0.4791093494372166
C0044,0.20592173776065026,0.05221198070835498,1.0,0.019185934314835514,0.6183675173381101
C0045,0.03466596037089009,0.08788562997622018,0.5,0.016715143751766495,0.40671217848573954
C0046,0.2258130329455541,0.03066953561960295,1.0,0.01395964160483922,0.6361331654174408
C0047,0.1222571831703484,0.005712039308889749,1.0,0.05463803022477895,0.5787150070328393
C0048,0.23058360029978325,0.08206411412251846,0.5,0.046002599394017914,0.4834422161708388
C0049,0.23244062049307768,0.1333559215457818,1.0,0.02524882912104235,0.6032295296536814
C0050,0.16066119915184135,0.043979826623926854,1.0,0.023934642089455588,0.5983330026908955
C0051,0.13656810824948018,0.15415297266643424,1.0,0.0034304368400608133,0.5636660603343084
C0052,0.23693423482181497,0.18673418212633092,0.5,0.05728897224517252,0.44982011352158985
C0053,0.25634232462422446,0.1600285813061566,0.5,0.025155750774728886,0.48102538384042604
C0054,0.30847295080967374,0.024740509081947026,1.0,0.02491942380660491,0.6701769344267968
C0055,0.2784160503745996,0.02426697728310978,1.0,0.02718787066579837,0.6557725876840276
C0056,0.10518685118257698,0.0932796977843171,0.5,0.0279993521807636,0.43175046521552085
C0057,0.20858191967749695,0.04219365400330122,0.5,0.004437646409653338,0.5042068267695392
C0058,0.20846486236595974,0.08526365705719674,1.0,0.020993270768254167,0.6087831191018085
C0059,0.2218702148684818,0.051957582237427746,1.0,0.01393783380759247,0.6279822968061719
C0060,0.13188372600041465,0.07393115232933511,1.0,0.01281586506233046,0.5814011917233373
C0061,0.22281620250239909,0.004146632319667054,1.0,0.0143045459107802,0.6425862557703284
C0062,0.09452251618915075,0.0536337077469371,0.5,0.02354743457950542,0.44084867440025927
C0063,0.12053390210031167,0.1254818433046847,0.5,0.020117237550051414,0.4325429460562117
C0064,0.14963441012370027,0.08419884830925861,1.0,0.018967716344107592,0.5835403577080391
C0065,0.14007600028382472,0.11717220583475896,0.5,0.024876818834566092,0.4416879699017387
C0066,0.3116243782482504,0.06754399078408335,1.0,0.00614869598519832,0.6672008597831485
C0067,0.13985883815622702,0.05924761924441946,1.0,0.032144769569832934,0.5806970450905515
C0068,0.21800964935672373,0.10070828719297298,1.0,0.03109837857739462,0.6038975856928062
C0069,0.23569153011346922,0.07047592739302055,0.5,0.03479035817419625,0.49426274915476665
C0070,0.1343216977932375,0.06676523428658043,1.0,0.02272257099524725,0.5801900367731214
C0071,0.08500720795657979,0.09760979121235158,1.0,0.028814825474840378,0.5460036347530772
C0072,0.2108688804979596,0.069681168916636,0.5,0.03083344476860702,0.48511159540321785
C0073,0.24183958213132106,0.07550456252919968,1.0,0.054033534096168505,0.6118613528570587
C0074,0.24522822725681037,0.1518264810704003,1.0,0.058651969844473156,0.5884113715144317
C0075,0.22019873869026085,0.1601472277190541,1.0,0.015344818570389804,0.5941400957382257
C0076,0.23798583627262593,0.017786396983892283,0.5,0.07950049803727344,0.49098248311074094
C0077,0.15556321356970793,0.07896935950716988,1.0,0.02312193393002093,0.5859077679857082
C0078,0.10746415761382289,0.06214577711389069,0.5,0.010747256371996718,0.4498788724246545
C0079,0.26143882037986055,0.042026594861619526,1.0,0.015775320715546888,0.6479405963904552
C0080,0.3151078018197194,0.042971540356284366,1.0,0.03350973049662632,0.6638276699885066
C0081,0.19694958114805605,0.14489121249217263,1.0,0.01327328215736102,0.589186970798161
C0082,0.26111071176758194,0.004254284606140635,0.5,0.024782803987807533,0.5300712731190562
C0083,0.2333613114754297,0.14892553493133853,1.0,0.021823165179526715,0.6005145053537548
C0084,0.1615163089917191,0.039949685794872236,1.0,0.016077657991581173,0.6034624872116003
C0085,0.08101449709951203,0.09587638601174175,0.5,0.0508128441789994,0.40982782801070816
C0086,0.10125818604088943,0.03415700462144711,1.0,0.0370018712283888,0.5686682402791912
C0087,0.07063231163252082,0.08865845307848652,0.5,0.0734786753893419,0.398402464076454
C0088,0.2901864676652597,0.038742537255909926,1.0,0.021857653095304387,0.6591252053797069
C0089,0.14605165128563302,0.08447549750817562,0.5,0.005029483091547829,0.4631173264348857
C0090,0.2463053937828777,0.09879368355895524,0.5,0.026391937743444328,0.49432295015005845
C0091,0.21642119398065685,0.03734994618450793,1.0,0.027412408957926786,0.6238489694048761
C0092,0.28149659512557257,0.05613917703666904,0.5,0.008963488545662795,0.5307981448499587
C0093,0.04541160628995067,0.09874925759356523,0.5,0.021134470968372867,0.40629993361664046
C0094,0.17573572412725114,0.04347836662887572,1.0,0.01982614377823486,0.6071158011683946
C0095,0.178944596677941,0.14038682522951423,0.5,0.0026594523689046747,0.4622122673702121
C0096,0.23353251771939687,0.0422548270591091,1.0,0.03495115246510118,0.6266851662467003
C0097,0.17633769699656887,0.07008195040966025,1.0,0.021915237432753813,0.5984655216808187
C0098,0.09938383397015782,0.049019387561256234,1.0,0.03812758250645574,0.5628594968902891
C0099,0.2505027977270333,0.008982707076606311,1.0,0.007302558828804616,0.656745295381221
C0100,0.32476828188748197,0.027414764570519168,1.0,0.032615064393658376,0.6732445185010649
C0101,0.2694742559337899,0.11260495877582732,1.0,0.0286670860741931,0.6245817388040704
C0102,0.1994165686314744,0.03419398227160375,0.5,0.0026325464811149672,0.5032946152861806
C0103,0.09917105646251834,0.045678010954731896,0.5,0.028365710571861956,0.4431590023643758
C0104,0.24037976029677255,0.08475261645051702,1.0,0.007623336995002601,0.6293146055506413
C0105,0.09350460366030533,0.0670546484931881,1.0,0.024299894168994238,0.5610257247231336
C0106,0.2889593382749129,0.012560826977945694,0.5,0.05450287938940711,0.5267371584050938
C0107,0.21803767424770454,0.03828387572515468,1.0,0.036034283621061175,0.620416363064443
C0108,0.0878285418781457,0.05063891573335855,0.5,0.06502120699653714,0.4200716259767163
C0109,0.29601651877529167,0.06920817706487892,1.0,0.017962695649085973,0.6543617672873289
C0110,0.22241264008327766,0.16802160766798557,1.0,0.021366711335683748,0.5900641856360216
C0111,0.19402771348139103,0.05831711255217242,1.0,0.008939980816266607,0.6157943459336543
C0112,0.2042746712402519,0.08955534136934806,1.0,0.06393530110001644,0.5862861141523015
C0113,0.1066179181582737,0.04140914977725951,1.0,0.042968744822173215,0.5662193830680673
C0114,0.1920526533186906,0.08827603203739576,0.5,0.03278931512708848,0.4701856925750022
C0115,0.299575276438763,0.047257783536214126,1.0,0.015492639461364942,0.6636598515789649
C0116,0.1997657473003902,0.0484249805751118,1.0,0.012509539048497588,0.6197377995408182
C0117,0.18556730935072585,0.07784430328281988,0.5,0.07045075340866885,0.4534491591890797
C0118,0.14271438447035023,0.06383364116815504,1.0,0.03945444404879072,0.5773168808392553
C0119,0.19329335182090435,0.04140982443335939,0.5,0.03314027998331543,0.4846459349969072
C0120,0.09181887497116359,0.12798220366388569,1.0,0.026474064004634517,0.5410105038357723
C0121,0.17944710464130087,0.20130987909997755,1.0,0.0021951892115244283,0.5693703982134062
C0122,0.2692335799005254,0.029397608688121357,1.0,0.012743750194404102,0.6566011407613181
C0123,0.1790896638399313,0.02946967787840138,1.0,0.024280620386651474,0.6108231661904555
C0124,0.14560708683270973,0.03610819252168318,1.0,0.05402376926537809,0.5803800351487943
C0125,0.13959290683731496,0.0601436278266585,1.0,0.020780937487643945,0.5854222978593544
C0126,0.08485732644470345,0.0349984810084607,1.0,0.05440310173926479,0.5532048568149093
C0127,0.12190255096726177,0.07218928536827252,1.0,0.02264818844512496,0.5730076775244799
C0128,0.23895192830581014,0.1161960216795278,1.0,0.025540152350534414,0.6111764926760157
C0129,0.19060309405960096,0.009071665491019343,0.5,0.015268738410663852,0.5011789603947159
C0130,0.26899112581965967,0.0766633477727241,0.5,0.03119578446631865,0.5090088992771862
C0131,0.1704582319367094,0.05333099010869302,1.0,0.027192080576185464,0.5984704710796278
C0132,0.062466479089286264,0.02120818217933429,0.5,0.032768122079409163,0.43200180600064436
C0133,0.14702619781430415,0.05081177378640389,1.0,0.04108900711376519,0.5824282036793214
C0134,0.20463753290489206,0.06913350174780208,0.5,0.013508569077830246,0.49026798319783715
C0135,0.2321924603833737,0.15480404215839227,1.0,0.03954893287248516,0.5902483747323821
C0136,0.1735118202068,0.1132518289183625,0.5,0.06379492378726534,0.44039705471328183
C0137,0.07050813987679883,0.07454465411882905,0.5,0.04405000497679085,0.4145427644693549
C0138,0.2180368906117981,0.03892062943749541,1.0,0.041022629552763826,0.6179802286453169
C0139,0.3592779391344838,0.06633470578191814,1.0,0.07600891667125136,0.6575706483738791
C0140,0.2787537689581623,0.08707683933542865,1.0,0.04074618980649088,0.6309803588176235
C0141,0.30243385135560574,0.03993004253076826,1.0,0.01008802175910909,0.669576610559193
C0142,0.2007896192511287,0.07158367046810554,1.0,0.013926314538394087,0.6126133859802989
C0143,0.20803948578865739,0.0781720987113762,1.0,0.0325777097952352,0.6055061695836271
C0144,0.2843215415490369,0.09144130930334038,0.5,0.033107698210059266,0.5106138367115378
C0145,0.15538523138811167,0.0905619646546797,0.5,0.035109000931683926,0.45195571430898857
C0146,0.21141191025012263,0.12864143860242971,1.0,0.023989349884728776,0.5957477205836983
C0147,0.08430281236422588,0.07615140544275234,1.0,0.012443291589611225,0.5594913627157508
C0148,0.2854255119292237,0.11020210887668924,1.0,0.027662764171059586,0.6329326038281671
C0149,0.3914756086206485,0.03605832907965456,1.0,0.023992977981280538,0.7045496850638192
C0150,0.12755819394253298,0.034738868199116646,1.0,0.0548525502156284,0.572295879217372
C0151,0.239331510809337,0.052791615074585296,0.5,0.027121694336725056,0.5046569328902998
C0152,0.2770495146474243,0.021592493918324407,1.0,0.043718635174081776,0.6485211475875068
C0153,0.2691154157139375,0.06645047612802601,0.5,0.06144133993515277,0.49851819126204533
C0154,0.11274021095413489,0.07509471281996027,1.0,0.05658004656216552,0.5527436601303981
C0155,0.2743866475221527,0.03251558599686544,1.0,0.012176032364236707,0.6582401010220025
C0156,0.25285516877431635,0.10225216718989627,0.5,0.011557182661871366,0.5029084435936313
C0157,0.11332669565485198,0.08736480747429465,0.5,0.010415486465899128,0.44510060189274037
C0158,0.3699462252396176,0.04986501595335846,0.5,0.01740362455334581,0.5686846655228147
C0159,0.04938565705011899,0.09450375297376756,0.5,0.014247214017562865,0.41246117347252
C0160,0.16291321010376758,0.06207088826641172,0.5,0.04600396740357435,0.45898789273516344
C0161,0.10296056307366419,0.004574136835125087,0.5,0.054970824997819634,0.4452231410835925
C0162,0.10171695286225557,0.058762719172333444,0.5,0.006474623063377837,0.45023023265779494
C0163,0.2503989165605498,0.13158684685244415,1.0,0.05384706796690449,0.5989722778114072
C0164,0.2966694665723969,0.08490156660302772,1.0,0.015739463107599962,0.6509480315782503
C0165,0.22663944517033596,0.07662502816049233,1.0,0.02195754696897642,0.6191193457424641
C0166,0.2971370951007679,0.14221050768511712,0.5,0.033856189211270066,0.5008132553447389
C0167,0.14078642572691713,0.1758530442334092,1.0,0.01475579272362326,0.5539578715814595
C0168,0.254819572494531,0.0815040267504622,1.0,0.010928967690085105,0.635299564136862
C0169,0.17146620096466658,0.03541959191715527,1.0,0.017739089240229666,0.60855132270085
C0170,0.1873599397603103,0.10513419474341101,1.0,0.04072061872768084,0.5844474360416599
C0171,0.2784794028597648,0.13007845951000396,1.0,0.059062946920898016,0.6097138673194888
C0172,0.11127804710732792,0.019653625882702808,1.0,0.028589023942843548,0.5813139726592071
C0173,0.2714103608842133,0.11762644571320391,1.0,0.005870726906530827,0.6342049015759958
C0174,0.23955776291088926,0.09133371281544578,1.0,0.023293043618012387,0.6199190098371609
C0175,0.23214930362121944,0.0757861248074031,1.0,0.02676351825142725,0.6196877659741855
C0176,0.2741260596378541,0.00734223950283075,1.0,0.022047301632023095,0.6612327692517748
C0177,0.3989111526637242,0.04902255348876128,1.0,0.05721205389878025,0.6890578283975963
C0178,0.056867130653928455,0.02869973838326423,1.0,0.019607609177942426,0.5581568631492144
C0179,0.3016156446884276,0.07642550601653109,1.0,0.05608608512243446,0.6375606499997376
C0180,0.3833490737284898,0.09523285378059065,0.5,0.015528576509477348,0.5619493676143784
C0181,0.16247052002557572,0.026764261307652193,0.5,0.04908220157297064,0.4679954649113766
C0182,0.22012222731953845,0.08187945786583528,1.0,0.026879896381048325,0.6123952115625699
C0183,0.04009488886890811,0.07645005421625972,1.0,0.02532365633366031,0.5337120383759836
C0184,0.1641332513591307,0.06815620240456077,1.0,0.029171498631038777,0.5902859280062731
C0185,0.21171053620605096,0.04153383984894854,0.5,0.04501917426707407,0.487550960917855
C0186,0.243951728291382,0.10659581679152785,0.5,0.015129468139618385,0.49599127203083526
C0187,0.1815775712539731,0.025845034011936496,1.0,0.020233131877286502,0.614851487515928
C0188,0.1819845778315713,0.03240925530334737,1.0,0.0049545992312451555,0.6199407137791425
C0189,0.15811491250329512,0.07637405360881222,1.0,0.020785244149434477,0.5888861346765937
C0190,0.219641500708262,0.09234390561331152,1.0,0.031670850571388035,0.6068836208775998
C0191,0.34493297863206573,0.030311462254356436,1.0,0.03878699460948866,0.6786722541338528
C0192,0.12567272558810338,0.14821361481749273,1.0,0.007290242086411865,0.5588080331305134
C0193,0.10399226333929257,0.10598067133573019,0.5,0.07289950864687557,0.4071975382108686
C0194,0.2430207167460413,0.1646337378103293,0.5,0.057017760978185665,0.45931120875243625
C0195,0.12584904498416927,0.04757795188184677,1.0,0.06411225275236157,0.5635081709397594
C0196,0.15674789729154648,0.05080811510748451,1.0,0.02142942641062889,0.5956508773641676
C0197,0.053182834756094755,0.06088906108811731,0.5,0.008403248103958273,0.42688409566702623
C0198,0.09517224399881175,0.01987722842931894,0.5,0.022087942636742915,0.45192476708413526
C0199,0.23958793145681218,0.0768256862217711,1.0,0.04007534897496082,0.6167329562503018
C0200,0.10604225058369587,0.013605998591353696,1.0,0.04764960895561938,0.5721948891552283
C0201,0.21063600965984475,0.0720507711109416,1.0,0.02497914119197395,0.6119303594772594
C0202,0.24334935195170015,0.0222549644558665,0.5,0.03504614888852373,0.5120599520416694
C0203,0.17903155124522763,0.015788399582480128,1.0,0.05010970768923609,0.6032783097254522
C0204,0.2199443044976429,0.11396862043810052,1.0,0.03243416597485865,0.6001889762038227
C0205,0.18853594313913807,0.031930409844661445,0.5,0.07042127390478087,0.4685724782020623
C0206,0.06428551578352915,0.09965470436497847,0.5,0.023943460303097103,0.4132575136567009
C0207,0.1718017148680886,0.024692432523041763,0.5,0.017412866361036627,0.4870672520712609
C0208,0.2448267919571449,0.03186058623594934,1.0,0.03778224471574375,0.6336118703878457
C0209,0.3189877746743187,0.009163135327220795,0.5,0.02364498497762212,0.5551553147653472
C0210,0.1691431200597997,0.06058113956361599,1.0,0.02498948671676498,0.5966947931352808
C0211,0.26319404499591686,0.11957775816498506,1.0,0.008471491111973688,0.6287518217982789
C0212,0.3306065732796871,0.04676663856544605,1.0,0.028719932415130794,0.6718189968194166
C0213,0.353775143656778,0.0959300602578449,1.0,0.06006883285905854,0.6533888217816203
C0214,0.10809307794910084,0.09529430227144531,1.0,0.012965353790052186,0.5642191851901384
C0215,0.1943426169521572,0.054635941989398695,1.0,0.045682037980278374,0.6005064779405259
C0216,0.21137592237225677,0.10686261173169831,1.0,0.061993031015927486,0.5851635175908387
C0217,0.3485295927004433,0.07501988722226494,1.0,0.021066980800484938,0.6748522091883018
C0218,0.339358272945861,0.07791564474233231,0.5,0.03452653049049722,0.5387995906822141
C0219,0.09305164123478804,0.11622013248095031,1.0,0.012515265265712667,0.5513753294417988
C0220,0.11064755686661187,0.10529699630543965,1.0,0.012959843630726223,0.5623703720645166
C0221,0.16542840045802476,0.040887653755559694,1.0,0.013823913807835184,0.6059557228659174
C0222,0.1204569216089153,0.05028091749331498,0.5,0.011115650620958758,0.4591192966965859
C0223,0.11836853725431296,0.10192104811331193,1.0,0.03524410684272431,0.5568296792512213
C0224,0.18299709626358984,0.07650378873875274,1.0,0.026711818221921483,0.597377238497125
C0225,0.10775752797566729,0.10163677253182102,1.0,0.03465464075337707,0.5524052674904842
C0226,0.378036982218365,0.05516011244810182,0.5,0.0410232655923817,0.560108138747262
C0227,0.3568273083668575,0.12377293709644355,1.0,0.0629657365447702,0.6451058261910062
C0228,0.23066027969717018,0.019007944175973956,0.5,0.0295767543275305,0.5097852031635457
C0229,0.12972835446826847,0.11389060124440076,1.0,0.023058725785017727,0.5638341525341426
C0230,0.22646049705405435,0.13610230508162635,0.5,0.03826668089280226,0.4688565257480755
C0231,0.11410457027475351,0.031555137721069326,1.0,0.06544698387524454,0.5624293725634582
C0232,0.09792692977130346,0.13655596006572712,1.0,0.04304960305099797,0.5337280090044193
C0233,0.03768746419607438,0.07807580589536767,1.0,0.03727523072543017,0.5267627632931795
C0234,0.09794778826469774,0.04872660304507925,1.0,0.002787555439028169,0.5782041238580276
C0235,0.21464492770213706,0.1057418294209691,0.5,0.02232499811221374,0.4798214194891748
C0236,0.2533716535462216,0.04564155044162865,0.5,0.004463228697751091,0.5233163260493231
C0237,0.21502509625252958,0.08390385279866841,1.0,0.051004808235465986,0.598637973768078
C0238,0.14417936908751905,0.09787841233345917,1.0,0.041429037879283044,0.5668741253436684
C0239,0.1510175206893628,0.080368752895567,1.0,0.0511843023732462,0.5708143223735824
C0240,0.2297486087895747,0.058305957198488856,1.0,0.038564714837638604,0.6185409651188246
C0241,0.18867899652156106,0.05444606144963349,0.5,0.020644987552315707,0.4842814856012703
C0242,0.13070460083941304,0.010273698171657575,0.5,0.01138734034687149,0.4756106577701464
C0243,0.25473148690431713,0.11991867180196802,1.0,0.026449840229773935,0.616751139462954
C0244,0.21446766582565402,0.10480344942329711,1.0,0.026726370731525652,0.6030425479653686
C0245,0.2511309287298039,0.08056396839738988,0.5,0.055089571717874465,0.48904942013615127
C0246,0.14798910493686468,0.11163510227742879,1.0,0.004355741469394657,0.5811444828771328
C0247,0.20089955124215092,0.08577198538491404,1.0,0.03195410332436186,0.6002938559475308
C0248,0.20705789505097266,0.019218413039358784,0.5,0.012189386688057685,0.5069253048515041
C0249,0.18158865995467188,0.0944874259203552,1.0,0.012619567921052803,0.597689863639022
C0250,0.23662769464455147,0.13435828876593336,1.0,0.03382751437929058,0.6009525944895874
C0251,0.25023405859546466,0.06063822340001479,0.5,0.020596906890578446,0.5101452512471943
C0252,0.15666422807691582,0.06050527979843601,1.0,0.03936849757076572,0.5846314947882367
C0253,0.23141993838139374,0.13541036347939917,0.5,0.02130912600710841,0.4789267565246086
C0254,0.2496690795103983,0.009247514803687795,0.5,0.018296747855584102,0.52634329480356
C0255,0.1059027804541407,0.050474428828716444,1.0,0.028412473637957385,0.5697283094186676
C0256,0.0434898467709286,0.05747496220554649,1.0,0.04384799413818477,0.532757511338336
C0257,0.18233483886113155,0.14971548748178964,1.0,0.018531833215305788,0.5787967062960847
C0258,0.22870097434525644,0.05787611594313857,1.0,0.019910268733182815,0.6265929827424915
C0259,0.17249574217847297,0.05077551780248446,1.0,0.01580723188078629,0.6052771742932137
C0260,0.12799178505030073,0.04113307824083323,1.0,0.036548307182690934,0.5788096415681744
C0261,0.1941191745868266,0.14204380418104812,1.0,0.02210208901648723,0.5847945472523383
C0262,0.12579020697770504,0.055754240785147124,1.0,0.02636712038855137,0.578014116729575
C0263,0.24660160649866547,0.035931102722310704,0.5,0.014412262988430432,0.5187058737629126
C0264,0.18718062175807748,0.051134387273374604,1.0,0.027795445368598865,0.606383013193253
C0265,0.07044846657828263,0.07073145911307499,0.5,0.03765427987137854,0.41853794628418434
C0266,0.14998073189911187,0.01141781508731432,1.0,0.027268961031020413,0.6017949523644468
C0267,0.2639150337458538,0.033397132764636295,1.0,0.007676734003820674,0.655288095054524
C0268,0.3282690520839906,0.05749281893471525,0.5,0.018580276827308187,0.5471121031850925
C0269,0.3476282729426594,0.036514515908147804,1.0,0.0151602513787904,0.6886562549312967
C0270,0.20291739383648832,0.07499003512142022,1.0,0.008739404803582687,0.6148830845283815
C0271,0.2588189587174007,0.02150593776977583,0.5,0.03644357032277703,0.5186171434466479
C0272,0.054955680332453016,0.09703389754864422,1.0,0.018932800077409256,0.5371001268501765
C0273,0.36771460547208545,0.137744723995461,1.0,0.025492510651213912,0.6626765254707538
C0274,0.09413901579258543,0.034490264714821084,0.5,0.04712692357677181,0.43580836208266976
C0275,0.07114926603343052,0.05230269475949345,1.0,0.06667370074070682,0.5363231959538777
C0276,0.15006340764533516,0.07907114064196641,0.5,0.018283668558553633,0.46057954039646176
C0277,0.085254336410307,0.06252889483682644,1.0,0.02423717415940753,0.5586990545618569
C0278,0.14798925547751363,0.05907781212767316,1.0,0.06553876451330283,0.5693793772955928
C0279,0.2710239220980009,0.05902338588627509,1.0,0.05019037241911495,0.6316680815896162
C0280,0.40295068601675843,0.10574632677190299,1.0,0.028993007038512694,0.6865570575086397
C0281,0.33017033670075,0.13613652653025665,1.0,0.055354288197367395,0.6328262638674451
C0282,0.09288971551744685,0.11068569544991436,1.0,0.036362187062490794,0.5422316791697559
C0283,0.2732560264285371,0.06730713916927944,1.0,0.04908073995900096,0.6306867371605074
C0284,0.05629156860332363,0.03229558003674182,1.0,0.030496974452038337,0.5519188933570558
C0285,0.10964195686479355,0.12910358333010896,1.0,0.033199866127160506,0.5456678658329022
C0286,0.12455946734885026,0.06773084642811256,1.0,0.03829718081332252,0.5684987750125537
C0287,0.0952183736322677,0.07875461582122445,1.0,0.00780065208454122,0.5657115899501095
C0288,0.26420339215127964,0.04306331984529166,0.5,0.03918169355568716,0.5133407684144291
C0289,0.05303503600974646,0.1696650828066263,0.5,0.04562142993855684,0.3774365978900474
C0290,0.22362275916619956,0.09795691212859936,1.0,0.02234823019462169,0.6111864643986302
C0291,0.13068865714226674,0.04184614125038888,1.0,0.03887079649914863,0.5787641949142865
C0292,0.2599499086170909,0.15627778650706425,0.5,0.03599757213011855,0.47889521546701824
C0293,0.2315958321485012,0.06691215990674027,0.5,0.020036405552529803,0.500128093996165
C0294,0.17976050164772583,0.05645276496380913,0.5,0.06268799973330705,0.4607467963723457
C0295,0.16106578582218478,0.12235665363911785,1.0,0.01567406534844572,0.5787192781214472
C0296,0.24080556245910728,0.09117282340080901,1.0,0.014265235838306406,0.6245912999591177
C0297,0.2533736099288195,0.10367955500691639,0.5,0.020322992100279852,0.4987689115207679
C0298,0.07368963185364064,0.07924424751909054,1.0,0.024127134221822888,0.5485298496785909
C0299,0.18867619321393003,0.010551022751454808,1.0,0.022702904980138872,0.6215226728797696
